整租·金顶阳光 1室1厅 南,金顶阳光,2500元/月,https://bj.zu.ke.com/zufang/BJ2402692948480229376.html
独栋·柚米国际社区 北京旭辉26街区店 复式一居_简约房 开间,北京旭辉26街区,2190-2787元/月,https://bj.zu.ke.com/apartment/24369.html
整租·建新北区 2室1厅 南/北,建新北区,3000元/月,https://bj.zu.ke.com/zufang/BJ2402662817950859264.html
独栋·柚米国际社区 北京旭辉26街区店 复式两居_落地窗房 2室0厅,北京旭辉26街区,4253-4296元/月,https://bj.zu.ke.com/apartment/24369.html
整租·棉花五条 1室0厅 南,棉花五条,2000元/月,https://bj.zu.ke.com/zufang/BJ2403419277404684288.html
独栋·柚米国际社区 北京旭辉26街区店 复式一居_飘窗房 开间,北京旭辉26街区,2810-3284元/月,https://bj.zu.ke.com/apartment/24369.html
整租·安宁佳园 1室0厅 北,安宁佳园,4400元/月,https://bj.zu.ke.com/zufang/BJ2402671424260014080.html
整租·荔景园新区 1室1厅 南/北,荔景园新区,3500元/月,https://bj.zu.ke.com/zufang/BJ2402678565918752768.html
整租·大成郡 2室0厅 东,大成郡,2500元/月,https://bj.zu.ke.com/zufang/BJ2402784155038924800.html
整租·红星楼 2室1厅 南/北,红星楼,3600元/月,https://bj.zu.ke.com/zufang/BJ2402669025923432448.html
整租·蓝桥驿苑 1室1厅 南/北,蓝桥驿苑,2400元/月,https://bj.zu.ke.com/zufang/BJ2402658477442080768.html
独栋·湾流国际青年社区 Harbour空港社区 机场女神范 1室1厅,Harbour空港社区,3000元/月,https://bj.zu.ke.com/apartment/7169.html
整租·车站西街17号院 1室1厅 南,车站西街17号院,4200元/月,https://bj.zu.ke.com/zufang/BJ2403442850944786432.html
独栋·泊寓 西直门店 X 开间,西直门,3600-4000元/月,https://bj.zu.ke.com/apartment/24519.html
整租·瀛海家园瑞园E区 2室2厅 南/北,瀛海家园瑞园E区,3500元/月,https://bj.zu.ke.com/zufang/BJ2402641096808611840.html
整租·石园东苑 2室1厅 南/北,石园东苑,2800元/月,https://bj.zu.ke.com/zufang/BJ2402796775766499328.html
整租·北苑135号院 2室1厅 南,北苑135号院,3400元/月,https://bj.zu.ke.com/zufang/BJ2402647628329525248.html
整租·朝丰家园 1室1厅 南,朝丰家园,4400元/月,https://bj.zu.ke.com/zufang/BJ2402877276431073280.html
整租·首都机场南路西里 2室1厅 东/西,首都机场南路西里,3800元/月,https://bj.zu.ke.com/zufang/BJ2402781972431904768.html
整租·花园闸小区 1室1厅 西南,花园闸小区,5000元/月,https://bj.zu.ke.com/zufang/BJ2402659452030558208.html
整租·周庄嘉园7号院 1室1厅 南,周庄嘉园7号院,5000元/月,https://bj.zu.ke.com/zufang/BJ2402823253996879872.html
独栋·ZOME己美·严选 北京陶然亭地铁站店 极致套房 开间,北京陶然亭地铁站,2300元/月,https://bj.zu.ke.com/apartment/17942.html
整租·和平街十三区 2室1厅 南/北,和平街十三区,5000元/月,https://bj.zu.ke.com/zufang/BJ2402830485178302464.html
独栋·窝趣轻社区 窝趣北京高碑店轻社区 双12复式2990元 1室1厅,窝趣北京高碑,2990元/月,https://bj.zu.ke.com/apartment/6272.html
整租·建研院 2室1厅 东/南/北,建研院,5000元/月,https://bj.zu.ke.com/zufang/BJ2404368500408713216.html
独栋·泊寓 空港店 Mini 1室1厅,空港,1500-1650元/月,https://bj.zu.ke.com/apartment/24511.html
整租·枫丹2号 1房间 西,枫丹2号,3300元/月,https://bj.zu.ke.com/zufang/BJ2404323711265013760.html
独栋·ZOME己美·严选 东夏园地铁站店 精致套房 开间,东夏园地铁站,1200-1700元/月,https://bj.zu.ke.com/apartment/14857.html
独栋·泊寓 安贞店 Standard 1室1厅,安贞,4200元/月,https://bj.zu.ke.com/apartment/24509.html
独栋·贝客公寓 立水桥店 A户型 1室1厅,立水桥,3520-4500元/月,https://bj.zu.ke.com/apartment/12078.html
独栋·ZOME己美·严选 东夏园地铁站店 雅致套房 开间,东夏园地铁站,1500元/月,https://bj.zu.ke.com/apartment/14857.html
独栋·窝趣轻社区 窝趣北京高碑店轻社区 拎包入住暖气开间 开间,窝趣北京高碑,2390-2940元/月,https://bj.zu.ke.com/apartment/6272.html
独栋·窝趣轻社区 窝趣大兴联邦商务中心店 阳光大窗A 开间,窝趣大兴联邦商务中心,2700-3750元/月,https://bj.zu.ke.com/apartment/24883.html
整租·温泉东里 1室1厅 南/北,温泉东里,4700元/月,https://bj.zu.ke.com/zufang/BJ2404132400352198656.html
独栋·泊寓 安贞店 Standard 1室1厅,安贞,4200元/月,https://bj.zu.ke.com/apartment/24509.html
整租·古城地铁车辆段 2室1厅 南,古城地铁车辆段,4300元/月,https://bj.zu.ke.com/zufang/BJ2402829807571173376.html
独栋·朗诗寓 大钟寺店 简约北欧风 开间,大钟寺,4890元/月,https://bj.zu.ke.com/apartment/22090.html
整租·张仪村4号院 1室1厅 南/北,张仪村4号院,3400元/月,https://bj.zu.ke.com/zufang/BJ2404106681870467072.html
独栋·ZOME己美·严选 北京篱笆房地铁站店 极致套房 开间,北京篱笆房地铁站,1240-1980元/月,https://bj.zu.ke.com/apartment/24441.html
整租·石门营新区六区 1室1厅 南,石门营新区六区,1400元/月,https://bj.zu.ke.com/zufang/BJ2404150460589285376.html
整租·东瑞丽景 1室1厅 东/东南,东瑞丽景,4700元/月,https://bj.zu.ke.com/zufang/BJ2404221094169935872.html
整租·妇联小区 1室1厅 南,妇联小区,4500元/月,https://bj.zu.ke.com/zufang/BJ2403716993556684800.html
整租·南开西里 2室1厅 南/北,南开西里,4300元/月,https://bj.zu.ke.com/zufang/BJ2403530619784273920.html
整租·北街家园六区 2室1厅 东,北街家园六区,4000元/月,https://bj.zu.ke.com/zufang/BJ2403546926499758080.html
独栋·ZOME己美·严选 北京朱辛庄地铁站三店 极致套房 开间,北京朱辛庄地铁站,1880元/月,https://bj.zu.ke.com/apartment/16522.html
整租·电建北院 2室1厅 南,电建北院,4700元/月,https://bj.zu.ke.com/zufang/BJ2404138368234962944.html
