整租·10AM新坐标 1室0厅 西,10AM新坐标,4650元/月,https://bj.zu.ke.com/zufang/BJ2412220425485959168.html
独栋·条玛青年公寓 条玛青年公寓北京八里庄店 时尚户型 开间,条玛青年公寓北京八里庄,4000-4700元/月,https://bj.zu.ke.com/apartment/23053.html
整租·高杨树南里 2室0厅 南/北,高杨树南里,4500元/月,https://bj.zu.ke.com/zufang/BJ2412253422134247424.html
独栋·条玛青年公寓 北京褡裢坡店 热推户型 开间,北京褡裢坡,2400-2800元/月,https://bj.zu.ke.com/apartment/25400.html
整租·三间房西里 2室1厅 南/北,三间房西里,4800元/月,https://bj.zu.ke.com/zufang/BJ2413612262376865792.html
独栋·窝趣轻社区 窝趣北京高碑店轻社区 双12复式2990元 1室1厅,窝趣北京高碑,2990元/月,https://bj.zu.ke.com/apartment/6272.html
整租·周庄嘉园6号院 1室1厅 南,周庄嘉园6号院,4800元/月,https://bj.zu.ke.com/zufang/BJ2412880917711290368.html
整租·宇达创意中心 2房间 东,宇达创意中心,3400元/月,https://bj.zu.ke.com/zufang/BJ2412795327838167040.html
整租·朝丰家园 2室1厅 南/北,朝丰家园,4400元/月,https://bj.zu.ke.com/zufang/BJ2412077615558172672.html
整租·双桥五号井 3室1厅 东/南,双桥五号井,4000元/月,https://bj.zu.ke.com/zufang/BJ2413087397332910080.html
整租·弘善家园 1室0厅 南,弘善家园,4800元/月,https://bj.zu.ke.com/zufang/BJ2412201794320211968.html
独栋·柠檬晓生活国际公寓 北京柠檬晓生活公寓 立减2400E户型 1室1厅,北京柠檬晓生活公寓,3526-4800元/月,https://bj.zu.ke.com/apartment/24549.html
整租·管庄西里 2室0厅 南/北,管庄西里,5000元/月,https://bj.zu.ke.com/zufang/BJ2412289494499213312.html
独栋·窝趣轻社区 窝趣北京高碑店轻社区 复式房半年租首月半价 1室1厅,窝趣北京高碑,3190-3450元/月,https://bj.zu.ke.com/apartment/6272.html
整租·君堂好园 1室1厅 南/北,君堂好园,4200元/月,https://bj.zu.ke.com/zufang/BJ2412197229692723200.html
整租·北京新天地三期 2室1厅 东南/东北,北京新天地三期,4500元/月,https://bj.zu.ke.com/zufang/BJ2412815312220332032.html
整租·农光里 1室1厅 南,农光里,5000元/月,https://bj.zu.ke.com/zufang/BJ2412079788610297856.html
整租·定福庄南里1号院 1室0厅 北,定福庄南里1号院,2300元/月,https://bj.zu.ke.com/zufang/BJ2412962410177765376.html
整租·定福庄西街 2室1厅 南/北,定福庄西街,5000元/月,https://bj.zu.ke.com/zufang/BJ2412163230085685248.html
整租·n次方 2房间 复式 南,n次方,4700元/月,https://bj.zu.ke.com/zufang/BJ2412938744782405632.html
整租·安慧北里小区 1室1厅 南,安慧北里小区,5000元/月,https://bj.zu.ke.com/zufang/BJ2411346880283025408.html
独栋·柠檬晓生活国际公寓 柠檬公寓 全景阳光 1室1厅,柠檬公寓,3850-4200元/月,https://bj.zu.ke.com/apartment/24565.html
整租·首都机场南路西里 2室1厅 南/北,首都机场南路西里,3600元/月,https://bj.zu.ke.com/zufang/BJ2411369648634740736.html
独栋·朗诗寓 望京北店 北欧风 开间,望京北,3780元/月,https://bj.zu.ke.com/apartment/22094.html
整租·五建小区 1室0厅 北,五建小区,2400元/月,https://bj.zu.ke.com/zufang/BJ2410718327648829440.html
独栋·魔方公寓 北京普乐门青年路店 温馨开间 1室1厅,北京普乐门青年路,4790-4850元/月,https://bj.zu.ke.com/apartment/24362.html
整租·华威北里 2室1厅 西南,华威北里,4800元/月,https://bj.zu.ke.com/zufang/BJ2411506387357278208.html
独栋·窝趣轻社区 窝趣北京高碑店轻社区 拎包入住暖气开间 开间,窝趣北京高碑,2390-2940元/月,https://bj.zu.ke.com/apartment/6272.html
独栋·冠寓 北京望京北路店 LOFT精致房 开间,北京望京北路,4577元/月,https://bj.zu.ke.com/apartment/9829.html
独栋·柠檬晓生活国际公寓 柠檬晓公寓 立减2400 1室1厅,柠檬晓公寓,3483-3560元/月,https://bj.zu.ke.com/apartment/25121.html
整租·远洋一方溪语苑 1室1厅 南,远洋一方溪语苑,5000元/月,https://bj.zu.ke.com/zufang/BJ2411352921389137920.html
独栋·德彩创意公寓 鼎石春秋 精装标准间 1室1厅,鼎石春秋,3800-4000元/月,https://bj.zu.ke.com/apartment/25390.html
整租·华威北里 1室1厅 东,华威北里,4300元/月,https://bj.zu.ke.com/zufang/BJ2410807541266391040.html
独栋·窝趣轻社区 窝趣北京高碑店轻社区 双12特价房无中介费 开间,窝趣北京高碑,2190元/月,https://bj.zu.ke.com/apartment/6272.html
整租·五建小区 1室1厅 南,五建小区,4000元/月,https://bj.zu.ke.com/zufang/BJ2411465976706514944.html
独栋·条玛青年公寓 条玛青年公寓北京劲松二店 温馨户型 开间,条玛青年公寓北京劲松,3900-4500元/月,https://bj.zu.ke.com/apartment/23028.html
整租·管庄西里 2室1厅 南,管庄西里,4800元/月,https://bj.zu.ke.com/zufang/BJ2410709802105192448.html
整租·双桥东路6号院 2室1厅 南/北,双桥东路6号院,4200元/月,https://bj.zu.ke.com/zufang/BJ2410623410666479616.html
整租·富力又一城C区 1房间 西,富力又一城C区,4600元/月,https://bj.zu.ke.com/zufang/BJ2410799076288774144.html
整租·双桥六号井 2室1厅 南/北,双桥六号井,3500元/月,https://bj.zu.ke.com/zufang/BJ2410732701905584128.html
整租·西军庄 1室0厅 东北,西军庄,4200元/月,https://bj.zu.ke.com/zufang/BJ2411601890182963200.html
独栋·条玛青年公寓 条玛青年公寓北京劲松二店 时尚户型 开间,条玛青年公寓北京劲松,4000-4500元/月,https://bj.zu.ke.com/apartment/23028.html
整租·潘家园南里 1室0厅 南,潘家园南里,4400元/月,https://bj.zu.ke.com/zufang/BJ2410824745504210944.html
独栋·条玛青年公寓 条玛青年公寓北京立水桥二期 清新典雅 开间,条玛青年公寓北京立水桥二期,3800-4100元/月,https://bj.zu.ke.com/apartment/23033.html
整租·朝丰家园 2室1厅 南,朝丰家园,4500元/月,https://bj.zu.ke.com/zufang/BJ2410738594391269376.html
整租·小红门乡新村二期D区 1室1厅 南,小红门乡新村二期D区,4100元/月,https://bj.zu.ke.com/zufang/BJ2411357919464660992.html
整租·平乐园小区 1室1厅 南,平乐园小区,5000元/月,https://bj.zu.ke.com/zufang/BJ2411562396708503552.html
整租·泰福苑D3区 1室1厅 南,泰福苑D3区,5000元/月,https://bj.zu.ke.com/zufang/BJ2410585583723216896.html
整租·甘露园南里 1室1厅 南,甘露园南里,4000元/月,https://bj.zu.ke.com/zufang/BJ2410815958370492416.html
整租·南平东里 2室1厅 南/北,南平东里,4800元/月,https://bj.zu.ke.com/zufang/BJ2410656180511973376.html
